,instance_0
PSCS,"(467.0, 0.155848050787207)"
ORCH,"(0.2, 0.14778092338200047)"
HUM,"(1.0, 0.005862203120603297)"
PRGS,"(0.0, 0.03801939749151834)"
3.34 < ORCH,"(3.69, 0.0155110352105499)"
0.00 < HUM,"(1.0, 0.003532553822066887)"
0.65 < ORCH,"(0.76, 0.014262217557699042)"
5.70 < ORCH,"(6.18, 0.013858367572939177)"
64.26 < HUM,"(83.26, 0.010067114056115227)"
75.66 < ROB,"(78.6, 0.005520425918019849)"
ROB,"(11.95, 0.004596666131286343)"
1451.39 < HUM,"(2435.56, 0.0026861310832791783)"
1.00 < HUM,"(2.0, 0.0021273879001340503)"
